element,id,geometry
way,1318444410,"LINESTRING (425512.7055978326 4582154.157449427, 425507.89905253093 4582146.9787874045, 425505.6917858786 4582143.7482910585)"
way,1318445167,"LINESTRING (425558.34275107674 4582197.178998945, 425550.2077050483 4582202.958453107, 425547.91002295323 4582204.758551942)"
way,1318448260,"LINESTRING (427211.14301609027 4576712.200606605, 427205.6393175776 4576714.942707058, 427200.60195259325 4576717.458076222)"
way,1318449256,"LINESTRING (425756.95391643513 4582084.232756377, 425762.5159174489 4582091.714722068, 425764.4209528045 4582094.83736049, 425772.3109591268 4582106.736693351, 425777.383050403 4582112.924634406)"
way,1318449257,"LINESTRING (425745.57455605915 4582068.01681164, 425747.4088487732 4582070.762667692, 425749.1079999614 4582073.376672773, 425756.0712981493 4582082.96495213, 425756.95391643513 4582084.232756377)"
way,1318449258,"LINESTRING (425707.04539108847 4582010.320720456, 425716.8492424314 4582025.364735814, 425740.4849972158 4582060.130306863, 425743.883308186 4582065.358314216, 425745.57455605915 4582068.01681164)"
way,1318449259,"LINESTRING (425693.8906709248 4581989.792874989, 425699.7211706637 4581998.981908095, 425707.04539108847 4582010.320720456)"
way,1318452122,"LINESTRING (430223.8342124895 4583227.967328273, 430219.5462830029 4583223.722922232, 430215.0308224336 4583219.2919617575)"
way,1318452123,"LINESTRING (430143.7153274941 4583149.742530283, 430126.5555983182 4583132.842902048, 430121.99158063915 4583128.590112564, 430114.2222925575 4583120.537752855, 430107.60543596826 4583114.084200603)"
way,1318452124,"LINESTRING (430107.60543596826 4583114.084200603, 430052.8220124912 4583060.67517549, 430049.52933928865 4583057.3538989555, 430044.10020505846 4583051.832678628)"
way,1318452125,"LINESTRING (430044.10020505846 4583051.832678628, 430033.9025517552 4583041.672100306, 430030.5583085878 4583038.20699256)"
way,1318452126,"LINESTRING (430030.5583085878 4583038.20699256, 430020.70808717876 4583028.531603523)"
way,1318453863,"LINESTRING (428360.6479699338 4577434.006047412, 428358.7970222803 4577434.668288757, 428352.96897245606 4577436.74655609, 428329.91759793204 4577447.743988815, 428326.7300198073 4577446.076738024)"
way,1318453864,"LINESTRING (428386.5956584414 4577421.43683052, 428379.49785471335 4577424.571277157)"
way,1318453865,"LINESTRING (428379.49785471335 4577424.571277157, 428376.36628127145 4577426.034457831, 428373.3758393488 4577427.385218094)"
way,1318453866,"LINESTRING (428392.66781491594 4577418.65670162, 428389.7690671405 4577419.973241471, 428386.5956584414 4577421.43683052)"
way,1318453867,"LINESTRING (428373.3758393488 4577427.385218094, 428366.2410383141 4577431.008568989)"
way,1318453868,"LINESTRING (428366.2410383141 4577431.008568989, 428362.7952797663 4577432.852354716, 428360.6479699338 4577434.006047412)"
way,1318455254,"LINESTRING (428222.09592883935 4577499.783076503, 428216.81760919525 4577501.600651207, 428213.7102106278 4577502.963738775, 428209.8418042033 4577505.211483798, 428207.29988436773 4577507.068608026, 428204.52345934126 4577510.59348349)"
way,1318455255,"LINESTRING (428204.52345934126 4577510.59348349, 428201.8108733282 4577514.650665928, 428200.09581261605 4577514.667637723, 428198.77375773137 4577513.814697173)"
way,1318455800,"LINESTRING (428145.6998410222 4577527.108410761, 428143.66366129124 4577528.494228899, 428140.2808551064 4577530.770511278)"
way,1318455801,"LINESTRING (428140.2808551064 4577530.770511278, 428134.3506521715 4577535.192674617)"
way,1318459908,"LINESTRING (427569.23395179823 4583009.3749389965, 427567.3963008205 4583007.872207042, 427565.83940839116 4583006.855199134, 427564.7556291439 4583007.165818303)"
way,1318462824,"LINESTRING (430797.4088226696 4582262.676387959, 430800.88847660495 4582259.312291744, 430806.4862232235 4582255.350618327, 430809.0193606691 4582253.561069878)"
way,1318463826,"LINESTRING (427698.0970275563 4582835.191837422, 427697.1346551192 4582838.454616257, 427692.76553925517 4582853.054234443)"
way,1318463830,"LINESTRING (427664.8575216568 4582942.678564614, 427664.42116594926 4582944.192927818, 427649.1335241936 4582991.477777239)"
way,1318463831,"LINESTRING (427670.6089049578 4582924.179078497, 427667.1418392892 4582935.327784724, 427664.8575216568 4582942.678564614)"
way,1318463833,"LINESTRING (427649.1335241936 4582991.477777239, 427645.45224252867 4582990.382046599, 427640.2729258185 4582988.302015039, 427638.8542339025 4582987.727730254)"
way,1318465968,"LINESTRING (430223.8342124895 4583227.967328273, 430211.9476047207 4583240.295046528, 430210.31714833155 4583242.009501389)"
way,1318465975,"LINESTRING (430702.1389502402 4582359.693463754, 430708.9961597107 4582352.799610134)"
way,1318467636,"LINESTRING (427964.24790474755 4582939.439444807, 427961.0287464198 4582941.092495104, 427951.3900321333 4582944.574773045, 427942.898772086 4582946.580056403, 427934.9378400803 4582946.426096821, 427926.7064830298 4582945.142333743, 427920.5691100685 4582942.560899661)"
way,1318467637,"LINESTRING (427903.4596564238 4582907.779027078, 427904.52327587246 4582903.760267331, 427904.9020485965 4582902.33531681, 427906.5894990223 4582898.832187844, 427907.6888472128 4582896.722784195)"
way,1318467638,"LINESTRING (427910.32005750126 4582934.28015585, 427907.6234484948 4582929.63264396, 427904.7855249337 4582923.387711612, 427903.66668477893 4582917.658611527, 427903.4003730577 4582912.742645668, 427903.4596564238 4582907.779027078)"
way,1318467639,"LINESTRING (427920.5691100685 4582942.560899661, 427915.7140740641 4582939.455971885, 427912.81451430265 4582937.097690203, 427910.32005750126 4582934.28015585)"
way,1318467640,"LINESTRING (427980.09104233264 4582918.3750035465, 427978.6050020488 4582922.797658578, 427976.4713869082 4582926.8381493, 427975.05986712093 4582929.505794953, 427973.65615631174 4582932.117848413)"
way,1318467641,"LINESTRING (427973.65615631174 4582932.117848413, 427968.72242241906 4582936.230598714, 427964.24790474755 4582939.439444807)"
way,1318467645,"LINESTRING (427981.0009415001 4582914.868520946, 427980.09104233264 4582918.3750035465)"
way,1318467646,"LINESTRING (427980.61837177345 4582902.459205152, 427981.3589912533 4582905.471848805, 427981.46558007435 4582908.624032271, 427981.0009415001 4582914.868520946)"
way,1318467647,"LINESTRING (427955.598111751 4582875.072733941, 427964.54914501833 4582878.9363659, 427971.751592869 4582885.204535181, 427976.3136386647 4582892.476027318, 427978.8297193725 4582897.469550894, 427980.61837177345 4582902.459205152)"
way,1318467648,"LINESTRING (427939.987330176 4582873.273899265, 427943.8136570078 4582872.980465524, 427949.3538113547 4582873.513811416, 427955.598111751 4582875.072733941)"
way,1318470570,"LINESTRING (430592.9682841669 4582647.081674306, 430587.00915734476 4582653.423002633, 430583.72239886085 4582656.818670089, 430580.859139999 4582659.910502911)"
way,1318474532,"LINESTRING (430312.04068895645 4583321.481566558, 430310.7233992963 4583322.7266638195, 430305.3557224313 4583328.762778713)"
way,1318475785,"LINESTRING (429262.27923925204 4580733.888984382, 429266.5775236534 4580733.847036933, 429282.15584740683 4580733.606204559, 429288.7867057638 4580733.485998078, 429293.09226962575 4580733.332966485)"
way,1318475786,"LINESTRING (429244.79341683595 4580734.05965681, 429253.10577173636 4580733.989620717, 429262.27923925204 4580733.888984382)"
way,1318475787,"LINESTRING (429215.0316684598 4580734.361349761, 429218.201242909 4580734.352602386, 429229.28948810766 4580734.21102002, 429233.7968330929 4580734.167011869, 429238.21219143807 4580734.1239045635, 429244.79341683595 4580734.05965681)"
way,1318475788,"LINESTRING (429200.47431980015 4580734.670073772, 429207.6821845549 4580734.544156922, 429215.0316684598 4580734.361349761)"
way,1318477410,"LINESTRING (430237.68624958437 4583393.633480613, 430217.8065219754 4583414.520816929, 430201.2713337253 4583431.112460592)"
way,1318477411,"LINESTRING (430201.2713337253 4583431.112460592, 430171.9173274358 4583462.139377645, 430141.523282135 4583492.787851713)"
way,1318478855,"LINESTRING (432665.86973558774 4582069.833888348, 432679.7350673449 4582055.637797117)"
